Recipe,Dairy_Free,Egg_Free,Gluten_Free,Keto,Low_Carb,Low_Fat,Low_Salt,Low_Sugar,No Seafood,Paleo,Soy_Free,Vegan,Vegetarian,Net Carbs (g),Notes
Broccoli Corn Bread,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,18.4,Broccoli Corn Bread (Lightened); Estimated net carbs from inferred nutrition
Mexican Cornbread,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,4.7,Mexican Cornbread (Lightened); Estimated net carbs from inferred nutrition
Banana Bread,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,87.5,Banana Bread (Lightened); Estimated net carbs from inferred nutrition
No Yeast Whole Wheat Bread,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,35.1,No Yeast Whole Wheat Bread (Lightened); Estimated net carbs from inferred nutrition
Potato Salad Dressing,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,16.1,Potato Salad Dressing (Lightened); Estimated net carbs from inferred nutrition
Wild Blueberry Bread,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,39.5,Wild Blueberry Bread (Lightened); Estimated net carbs from inferred nutrition
Pumpkin Gingerbread,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,28,Pumpkin Gingerbread (Lightened); Estimated net carbs from inferred nutrition
Corn Casserole,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,13.5,Corn Casserole (Lightened); Estimated net carbs from inferred nutrition
Pizza Dip,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,1,Pizza Dip (Lightened); Estimated net carbs from inferred nutrition
Shrimp Wreck (Tastes Best When Made Earlier in the Day),No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,1.1,Shrimp Wreck(Tastes Best When Made Earlier In The Day.) (Lightened); Estimated net carbs from inferred nutrition
Old-Fashioned Scalloped Potatoes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,11.5,Old-Fashioned Scalloped Potatoes (Lightened); Estimated net carbs from inferred nutrition
Crab Spread (Appetizer),No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,1.8,Crab Spread(Appetizer) (Lightened); Estimated net carbs from inferred nutrition
Reuben Dip,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,4.5,Reuben Dip (Lightened); Estimated net carbs from inferred nutrition
Sweet Potatoes for Two,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,27.5,Sweet Potatoes For Two (Lightened); Estimated net carbs from inferred nutrition
Micro-Mushrooms,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,6.5,Micro-Mushrooms (Lightened); Estimated net carbs from inferred nutrition
Sweet Potato Casserole,No,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,6.9,Sweet Potato Casserole (Lightened); Estimated net carbs from inferred nutrition
Broccoli Cornbread,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,22.6,Broccoli Cornbread (Lightened); Estimated net carbs from inferred nutrition
Carrots a la Orange,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,19,Carrots A La Orange (Lightened); Estimated net carbs from inferred nutrition
Au Gratin Potatoes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,28.6,Au Gratin Potatoes (Lightened); Estimated net carbs from inferred nutrition
Baked Beans,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,20.7,Baked Beans (Lightened); Estimated net carbs from inferred nutrition
Bonnie's Bread,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,14.3,Bonnie'S Bread (Lightened); Estimated net carbs from inferred nutrition
Broccoli Cornbread,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,10.5,Broccoli Cornbread (Lightened); Estimated net carbs from inferred nutrition
Corn Casserole,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,8.7,Corn Casserole (Lightened); Estimated net carbs from inferred nutrition
Easy Taco Dip,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,10,Easy Taco Dip (Lightened); Estimated net carbs from inferred nutrition
Fried Cabbage,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,18.5,Fried Cabbage (Lightened); Estimated net carbs from inferred nutrition
Mayonnaise Rolls,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,13.4,Mayonnaise Rolls (Lightened); Estimated net carbs from inferred nutrition
Rolls,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,18.5,Rolls (Lightened); Estimated net carbs from inferred nutrition
Barbecue Sauce,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,26.2,Barbecue Sauce; Estimated net carbs from inferred nutrition
Chicken Salad,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,39.5,Chicken Salad (Lightened); Estimated net carbs from inferred nutrition
Golden Corn Stuffing Bake,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,7.3,Golden Corn Stuffing Bake (Lightened); Estimated net carbs from inferred nutrition
Cauliflower Salad,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,8,Cauliflower Salad (Lightened); Estimated net carbs from inferred nutrition
Scalloped Corn,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,14.5,Scalloped Corn (Lightened); Estimated net carbs from inferred nutrition
Almond Roco,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,49,Almond Roco (Lightened); Estimated net carbs from inferred nutrition
Ambrosia,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,32,Ambrosia (Lightened); Estimated net carbs from inferred nutrition
Angel Biscuits,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,36.4,Angel Biscuits (Lightened); Estimated net carbs from inferred nutrition
Apple Crisp,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,33.4,Apple Crisp (Lightened); Estimated net carbs from inferred nutrition
Apple Crunch,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,11.5,Apple Crunch (Lightened); Estimated net carbs from inferred nutrition
Basic Graham Cracker Crust,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,21.7,Basic Graham Cracker Crust (Lightened); Estimated net carbs from inferred nutrition
Blueberry Surprise,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,22.1,Blueberry Surprise (Lightened); Estimated net carbs from inferred nutrition
Butternut Chewies,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,68.7,Butternut Chewies (Lightened); Estimated net carbs from inferred nutrition
Cheese Ball,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,2.9,Cheese Ball (Lightened); Estimated net carbs from inferred nutrition
Cheese Ball,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,3,Cheese Ball (Lightened); Estimated net carbs from inferred nutrition
Cheese-Ham Ball,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,10.1,Cheese-Ham Ball (Lightened); Estimated net carbs from inferred nutrition
Cherry Delight,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,20,Cherry Delight (Lightened); Estimated net carbs from inferred nutrition
Cranberry Scones,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,11.2,Cranberry Scones (Lightened); Estimated net carbs from inferred nutrition
Creamy Corn,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,7.1,Creamy Corn (Lightened); Estimated net carbs from inferred nutrition
Double Cherry Delight,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,20,Double Cherry Delight (Lightened); Estimated net carbs from inferred nutrition
Fried Onion Rings,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,9.7,Fried Onion Rings (Lightened); Estimated net carbs from inferred nutrition
Golf Balls,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,10.6,Golf Balls (Lightened); Estimated net carbs from inferred nutrition
Good 'n Easy Yeast Rolls,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,20.1,Good 'N Easy Yeast Rolls (Lightened); Estimated net carbs from inferred nutrition
Ham Roll-Ups,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,8.5,Ham Roll-Ups (Lightened); Estimated net carbs from inferred nutrition
Harvard Beets,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,8.3,Harvard Beets (Lightened); Estimated net carbs from inferred nutrition
Herb Butter,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,20,Herb Butter (Lightened); Estimated net carbs from inferred nutrition
Hot Crab Meat Dip,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,3.3,Hot Crab Meat Dip (Lightened); Estimated net carbs from inferred nutrition
Hot Rolls,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,7.3,Hot Rolls (Lightened); Estimated net carbs from inferred nutrition
Ma's Dill Pickles,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,16.5,Ma'S Dill Pickles (Lightened); Estimated net carbs from inferred nutrition
My Caramel Rolls,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,16.6,My Caramel Rolls (Lightened); Estimated net carbs from inferred nutrition
Never Fail Rolls,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,21.9,Never Fail Rolls (Lightened); Estimated net carbs from inferred nutrition
One Hour Rolls,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,9.7,One Hour Rolls (Lightened); Estimated net carbs from inferred nutrition
Pickled Bologna,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,16.5,Pickled Bologna (Lightened); Estimated net carbs from inferred nutrition
Real Whipped Cream That Keeps,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,14.8,Real Whipped Cream That Keeps (Lightened); Estimated net carbs from inferred nutrition
Red Cabbage and Apples,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,7.3,Red Cabbage And Apples (Lightened); Estimated net carbs from inferred nutrition
Salted Nut Squares,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,20,Salted Nut Squares (Lightened); Estimated net carbs from inferred nutrition
Scalloped Corn,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,14.3,Scalloped Corn (Lightened); Estimated net carbs from inferred nutrition
Scalloped Oysters,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,19.6,Scalloped Oysters (Lightened); Estimated net carbs from inferred nutrition
School Girl Pickles (Sweet Spear),Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,20,School Girl Pickles(Sweet Spear) (Lightened); Estimated net carbs from inferred nutrition
Snickerdoodles,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,38.3,Snickerdoodles (Lightened); Estimated net carbs from inferred nutrition
Spoon Rolls,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,38.5,Spoon Rolls (Lightened); Estimated net carbs from inferred nutrition
Strawberry Whatever,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,20,Strawberry Whatever (Lightened); Estimated net carbs from inferred nutrition
Strawberry Yum-Yum,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,20.1,Strawberry Yum-Yum (Lightened); Estimated net carbs from inferred nutrition
Watermelon Rind Pickles,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,118.7,Watermelon Rind Pickles (Lightened); Estimated net carbs from inferred nutrition
Ambrosia,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,32,Ambrosia; Estimated net carbs from inferred nutrition
Becky's Punch,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,28,Becky'S Punch; Estimated net carbs from inferred nutrition
Beer Biscuits,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,17.9,Beer Biscuits; Estimated net carbs from inferred nutrition
Bouillabaisse,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,8.8,Bouillabaisse; Estimated net carbs from inferred nutrition
Bourbon Balls,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,20,Bourbon Balls; Estimated net carbs from inferred nutrition
Chantilly Low-Fat,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,10.1,Chantilly Low-Fat; Estimated net carbs from inferred nutrition
Cheese Dip,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,21,Cheese Dip; Estimated net carbs from inferred nutrition
Chocolate-Dipped Strawberries,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,2.3,Chocolate-Dipped Strawberries; Estimated net carbs from inferred nutrition
Coconut Kisses,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,20.2,Coconut Kisses; Estimated net carbs from inferred nutrition
"Corn ""Oysters",No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,14.5,"Corn ""Oysters""; Estimated net carbs from inferred nutrition"
Corn Relish,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,18,Corn Relish]; Estimated net carbs from inferred nutrition
Cranberry Punch,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,28,Cranberry Punch; Estimated net carbs from inferred nutrition
Creole Green Beans,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,9,Creole Green Beans; Estimated net carbs from inferred nutrition
Doughnuts,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,39.2,Doughnuts; Estimated net carbs from inferred nutrition
Easy Cranberry Relish,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,25.1,Easy Cranberry Relish; Estimated net carbs from inferred nutrition
Egg Cheese Souffle,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,8.5,Egg Cheese Souffle; Estimated net carbs from inferred nutrition
Eggplant Spaghetti Sauce,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,20,Eggplant Spaghetti Sauce; Estimated net carbs from inferred nutrition
Fa-La-La-La-Las,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,16.6,Fa-La-La-La-Las; Estimated net carbs from inferred nutrition
Florida Punch,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,28.3,Florida Punch; Estimated net carbs from inferred nutrition
Fluffy White Icing,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,51.7,Fluffy White Icing; Estimated net carbs from inferred nutrition
Fresh Tomato Salsa,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8.6,Fresh Tomato Salsa; Estimated net carbs from inferred nutrition
Frozen Peach Mousse,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,15.7,Frozen Peach Mousse; Estimated net carbs from inferred nutrition
Fruit Medley,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,16.5,Fruit Medley; Estimated net carbs from inferred nutrition
Fruity Ice,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,20,Fruity Ice; Estimated net carbs from inferred nutrition
Ham and Country Dumplings,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,9.2,Ham And Country Dumplings; Estimated net carbs from inferred nutrition
Hattie Coffer's Kool-Aid Punch,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,30.4,Hattie Coffer'S Kool-Aid Punch; Estimated net carbs from inferred nutrition
Herb Butter,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,20,Herb Butter; Estimated net carbs from inferred nutrition
Hot Cheese Balls,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,4.8,Hot Cheese Balls; Estimated net carbs from inferred nutrition
Hot Fruit Punch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,28,Hot Fruit Punch; Estimated net carbs from inferred nutrition
Hot Spiced Tea,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,37.9,Hot Spiced Tea; Estimated net carbs from inferred nutrition
Jezebel Sauce,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,20,Jezebel Sauce; Estimated net carbs from inferred nutrition
Mango with Tomatoes and Scallions or Leeks,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8.9,Mango With Tomatoes And Scallions Or Leeks; Estimated net carbs from inferred nutrition
Marinated Onions and Blue Cheese,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,5.9,Marinated Onions And Blue Cheese; Estimated net carbs from inferred nutrition
Microwave Spice Tea,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,30.4,Microwave Spice Tea; Estimated net carbs from inferred nutrition
Mistletoe Punch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,28,Mistletoe Punch; Estimated net carbs from inferred nutrition
Mixed Up Marinade,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,10,Mixed Up Marinade; Estimated net carbs from inferred nutrition
Mulled Cider,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,8.2,Mulled Cider; Estimated net carbs from inferred nutrition
Orange Julius,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,9.4,Orange Julius; Estimated net carbs from inferred nutrition
Original Mayfair Dressing,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,20,Original Mayfair Dressing; Estimated net carbs from inferred nutrition
Oyster Fritters,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,24.8,Oyster Fritters; Estimated net carbs from inferred nutrition
Party Pink Punch,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,22.9,Party Pink Punch; Estimated net carbs from inferred nutrition
Party Wieners,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,20.5,Party Wieners; Estimated net carbs from inferred nutrition
Peanut Butter Twinkies,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,32.5,Peanut Butter Twinkies; Estimated net carbs from inferred nutrition
Pecan Kisses,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,21.3,Pecan Kisses; Estimated net carbs from inferred nutrition
Pinto Beans,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,11.3,Pinto Beans; Estimated net carbs from inferred nutrition
Pretty Party Punch,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,28,Pretty Party Punch; Estimated net carbs from inferred nutrition
Pumpkin Squares,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,28.6,Pumpkin Squares; Estimated net carbs from inferred nutrition
Raw Gluten,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,20,Raw Gluten; Estimated net carbs from inferred nutrition
Red Cabbage,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,8.3,Red Cabbage; Estimated net carbs from inferred nutrition
Ripe Tomato Ketchup,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,15.2,Ripe Tomato Ketchup; Estimated net carbs from inferred nutrition
Russian Tea,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,22.9,Russian Tea; Estimated net carbs from inferred nutrition
Sausage Balls,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,22.6,Sausage Balls; Estimated net carbs from inferred nutrition
Shirley Temple (Nonalcoholic Mixed Drink),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,28,Shirley Temple(Nonalcoholic Mixed Drink); Estimated net carbs from inferred nutrition
Simple Salsa Dip,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,3.8,Simple Salsa Dip; Estimated net carbs from inferred nutrition
Spaghetti Sauce to Can,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,7.1,Spaghetti Sauce To Can; Estimated net carbs from inferred nutrition
Spiced Tea,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,19.2,Spiced Tea; Estimated net carbs from inferred nutrition
St. Joseph's Zeppole,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,17.5,St. Joseph'S Zeppole; Estimated net carbs from inferred nutrition
Sugar-Free Sweet-N-Sour Stir-Fry,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,9.4,Sugar-Free Sweet-N-Sour Stir-Fry; Estimated net carbs from inferred nutrition
Summer Berry Sauce,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,12.7,Summer Berry Sauce; Estimated net carbs from inferred nutrition
Tennessee Tea,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,22.9,Tennessee Tea; Estimated net carbs from inferred nutrition
Teresa's Brisket,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,12,Teresa'S Brisket; Estimated net carbs from inferred nutrition
The Clergy Special,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,8.2,The Clergy Special; Estimated net carbs from inferred nutrition
Turnip Greens,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,20,Turnip Greens; Estimated net carbs from inferred nutrition
Vienna Coffee,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,15.1,Vienna Coffee; Estimated net carbs from inferred nutrition
Zucchini Pizzas,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,20.2,Zucchini Pizzas; Estimated net carbs from inferred nutrition
Zucchini Relish,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,12.3,Zucchini Relish; Estimated net carbs from inferred nutrition
Zucchini Squares,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,7.5,Zucchini Squares; Estimated net carbs from inferred nutrition
Hot Sauce (To Can),Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,50.6,Hot Sauce(To Can) (Lightened); Estimated net carbs from inferred nutrition
Hot Sausage Pick-Ups,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,10.9,Hot Sausage Pick-Ups (Lightened); Estimated net carbs from inferred nutrition
Black-Eyed Mullet,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,20,Black-Eyed Mullet (Lightened); Estimated net carbs from inferred nutrition
Sparerib Sauce,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,14.9,Sparerib Sauce (Lightened); Estimated net carbs from inferred nutrition
Ambrosia Mold,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,32,Ambrosia Mold (Lightened); Estimated net carbs from inferred nutrition
